Column-0,EUR,USD,JPY,KRW,CNY,HKD,CAD,GBP,SEK
Period Average,0.908741,1.000000,119.618331,1222.337679,6.349913,7.825644,1.262619,0.761205,9.526869
Period High,0.920060,1.000000,123.526580,1242.305306,6.370309,7.834592,1.284164,0.767382,9.970488
Period Low,0.897870,1.000000,114.785666,1209.475051,6.315632,7.812987,1.247480,0.755184,9.278653
"Apr 4, 2022",0.908347,1.000000,122.679823,1214.948847,6.362229,7.834592,1.249586,0.762454,9.401273
"Apr 3, 2022",0.904987,1.000000,122.550550,1218.687304,6.358046,7.833353,1.251039,0.762448,9.354399
"Apr 2, 2022",0.904912,1.000000,122.541000,1218.770000,6.357550,7.833280,1.250910,0.762393,9.353070
"Apr 1, 2022",0.904619,1.000000,122.517303,1217.300213,6.355280,7.833857,1.250531,0.762120,9.369048
"Mar 31, 2022",0.899629,1.000000,121.820373,1212.278708,6.341753,7.830325,1.250493,0.761344,9.315022
"Mar 30, 2022",0.897870,1.000000,121.903116,1209.475051,6.350882,7.826749,1.247947,0.761439,9.278653
"Mar 29, 2022",0.904936,1.000000,123.176533,1213.980521,6.365740,7.827479,1.250503,0.763181,9.378241
"Mar 28, 2022",0.911298,1.000000,123.526580,1224.449288,6.370309,7.828876,1.251132,0.762047,9.479643
"Mar 27, 2022",0.910276,1.000000,122.070343,1224.675825,6.365260,7.827212,1.247547,0.758534,9.408130
"Mar 26, 2022",0.910266,1.000000,122.057000,1224.935000,6.365300,7.827160,1.247480,0.758507,9.408180
"Mar 25, 2022",0.908407,1.000000,121.863749,1221.177809,6.363064,7.826283,1.251227,0.757889,9.398595
"Mar 24, 2022",0.909733,1.000000,121.770250,1220.196774,6.367370,7.823755,1.255414,0.758208,9.423525
"Mar 23, 2022",0.908222,1.000000,121.021968,1215.672641,6.368541,7.824889,1.257374,0.755699,9.442776
"Mar 22, 2022",0.908172,1.000000,120.536674,1217.812352,6.362583,7.827038,1.258745,0.757154,9.465274
"Mar 21, 2022",0.905921,1.000000,119.274017,1215.376716,6.355544,7.825009,1.259792,0.759566,9.447759
"Mar 20, 2022",0.904768,1.000000,119.145254,1210.727998,6.359050,7.824166,1.260156,0.758765,9.410966
"Mar 19, 2022",0.904764,1.000000,119.139000,1210.730000,6.359050,7.824280,1.260140,0.758737,9.410540
"Mar 18, 2022",0.904057,1.000000,118.989362,1211.912432,6.357570,7.821210,1.261238,0.759831,9.424900
"Mar 17, 2022",0.903647,1.000000,118.664129,1212.928140,6.345175,7.818414,1.265702,0.760168,9.418213
"Mar 16, 2022",0.909571,1.000000,118.432765,1231.592272,6.352447,7.821892,1.272565,0.764200,9.508270
"Mar 15, 2022",0.911417,1.000000,118.181708,1242.305306,6.370239,7.826800,1.281312,0.766735,9.597278
"Mar 14, 2022",0.913643,1.000000,117.914266,1239.034581,6.358573,7.829204,1.277777,0.767382,9.647571
"Mar 13, 2022",0.916069,1.000000,117.288842,1236.835228,6.334808,7.828854,1.274844,0.766855,9.751869
"Mar 12, 2022",0.916221,1.000000,117.269000,1236.925000,6.334250,7.828950,1.275040,0.766906,9.753990
"Mar 11, 2022",0.911678,1.000000,116.860715,1234.034983,6.329412,7.826700,1.275269,0.764885,9.704954
"Mar 10, 2022",0.906509,1.000000,116.043373,1227.249614,6.319977,7.820754,1.279655,0.760833,9.693416
"Mar 9, 2022",0.909770,1.000000,115.820047,1227.922498,6.316202,7.819332,1.283989,0.760464,9.791875
"Mar 8, 2022",0.918278,1.000000,115.566624,1233.378312,6.315632,7.819524,1.284164,0.762631,9.953917
"Mar 7, 2022",0.920060,1.000000,115.139889,1228.277953,6.318907,7.816382,1.274584,0.759579,9.970488
"Mar 6, 2022",0.914176,1.000000,114.785666,1216.538991,6.316644,7.812987,1.272418,0.755184,9.844237
